game_id,winner,reason,moves,game_duration,avg_tiger_move_time,avg_goat_move_time,first_capture_move,goats_captured,phase_transition_move,move_history,tiger_algorithm,tiger_config,goat_algorithm,goat_config
6cc7e249,GOAT,STANDARD,37,33.06189703941345,0.810189406077067,0.9724405439276445,,0,1,"p24,m0414,p34,m1404,p14,m0011,p42,m4443,p41,m1100,p44,m4333,p02,m0403,p01,m3343,p04,m0010,p23,m4333,p13,m1000,p12,m3343,p33,m4031,p22,m3132,p30,m3231,p20,m0011,p10,m3132,p31,m1121,p11",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
ec9c556c,GOAT,STANDARD,41,36.445327281951904,0.8005447506904602,0.9729664439246768,,0,1,"p24,m0414,p34,m4443,p04,m4344,p02,m0001,p03,m4030,p00,m3040,p10,m4041,p20,m4140,p30,m4041,p40,m4131,p41,m3142,p31,m0111,p21,m1101,p11,m4232,p12,m3222,p42,m1413,p43,m2232,p22,m4433,p23,m3344,p33,m1314,m2313",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
322898ec,GOAT,STANDARD,41,36.72660994529724,1.0063206553459167,0.7903703962053571,,0,1,"p24,m0414,p34,m1413,p42,m4041,p43,m1304,p40,m4433,p44,m0414,p04,m0010,p02,m1000,p03,m0010,p00,m3323,p33,m1011,p20,m1110,p30,m2313,p01,m1323,p12,m1011,p13,m2322,p23,m2232,p22,m1110,p11,m3231,p32,m3121,m3231",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
850ce08d,GOAT,STANDARD,51,49.453497886657715,1.0587878227233887,0.8838522892731887,41,1,1,"p24,m0414,p34,m1404,p14,m0010,p02,m0403,p01,m1000,p04,m4041,p40,m0010,p30,m1020,p00,m2010,p20,m1011,p10,m0313,p03,m4131,p42,m3141,p43,m1122,p11,m2221,p31,m1312,p13,m2122,p21,m2223,p32,m4433,p44,m2322,m1323,m3313c23,m3433,m1323,m0213,m1202,m1112,m0211,m0102,m1101,m1011",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
6d0342ac,GOAT,STANDARD,39,22.594234943389893,0.6541754948465448,0.5081554651260376,,0,1,"p24,m4434,p14,m3444,p42,m4041,p43,m4131,p40,m3130,p41,m4433,p02,m0403,p01,m3344,p04,m0010,p00,m1011,p10,m1120,p11,m4434,p44,m2031,p20,m3121,p32,m3433,p31,m3322,p33,m2212,p23,m2122,p13,m2221,p22",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
bc78befb,TIGER,STANDARD,60,42.582432985305786,0.6459636449813843,0.7733398914337158,35,5,1,"p24,m0414,p34,m1404,p14,m4443,p44,m4030,p40,m3020,p41,m2030,p42,m4333,p02,m0403,p01,m0304,p43,m0403,p04,m0011,p00,m1112,p10,m1211,p20,m0313,p03,m1312,p13,m1222,p23,m2212,p32,m3331c32,p33,m3121,p32,m1222,m2031,m3020,m3130,m2131,m1312,m1113c12,m0212,m2202c12,m3222,m3121,m3332,m1333c23,m2231,m2122,m1011,m2221,m0313,m3323,m3433,m2303c13",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
b1a59625,TIGER,STANDARD,60,45.1290922164917,0.685426139831543,0.8187629779179891,35,5,1,"p24,m0414,p34,m1404,p14,m0403,p42,m4041,p43,m4131,p40,m0304,p30,m3141,p20,m0010,p00,m4131,p01,m3141,p02,m0403,p04,m4131,p41,m1011,p10,m0313,p03,m1112,p11,m1222,p12,m2221,p33,m4422c33,p44,m2232,p33,m3222,m3323,m1333c23,m0313,m3323,m1303,m3132,m1413,m2231,m1314,m2313,m4233,m3142,m3322,m2123c22,m1121,m1311c12,m2131,m2313,m3433,m3234c33",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
9e963a1e,TIGER,STANDARD,94,67.22958111763,0.7960855757936518,0.6342156288471628,41,5,1,"p24,m0414,p34,m1404,p02,m0403,p01,m4443,p14,m4344,p04,m4041,p40,m0010,p30,m1000,p20,m0010,p00,m1011,p10,m0313,p03,m4443,p44,m4131,p41,m3121,p31,m1112,p11,m4342,p43,m4233,p42,m3322,p33,m2223,p32,m2322,m3323,m1333c23,m2413,m3324,m3433,m2434,m1324,m1213,m3323,m1333c23,m1112,m2211,m1213,m2122,m1312,m1113c12,m2011,m2212,m3020,m1222,m1121,m2211,m2122,m1323,m2221,m2313,m4030,m3322,m4140,m2233,m4041,m3323,m3040,m2322,m4333,m2212,m3343,m1222,m4333,m1323,m3343,m2212,m4433,m3444,m3334,m2313,m4333,m4422c33,m3444,m1323,m2434,m2324,m4443,m2444c34",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
