game_id,winner,reason,moves,game_duration,avg_tiger_move_time,avg_goat_move_time,first_capture_move,goats_captured,phase_transition_move,move_history,tiger_algorithm,tiger_config,goat_algorithm,goat_config
bbfee98b,DRAW,THREEFOLD_REPETITION,48,29.197820901870728,0.5534932017326355,0.6629976530869802,31,1,0,"p24,m0414,p34,m1404,p42,m4041,p43,m4131,p41,m3130,p40,m4433,p02,m0403,p01,m3344,p14,m0304,p03,m3031,p30,m3120,p31,m2010,p20,m1011,p32,m1110,p22,m4433,p21,m3311c22,p44,m1122,p33,m2223,p22,m1011,p10,m1112,m0111,m1213,m1101,m1312,m0111,m1213,m1101,m1312",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
752e5ed2,GOAT,STANDARD,41,19.271219968795776,0.5239503860473633,0.4186033407847087,,0,1,"p24,m0414,p34,m1404,p42,m4041,p43,m4140,p41,m0414,p04,m0010,p00,m4031,p03,m3140,p02,m4030,p40,m3031,p01,m3130,p12,m1413,p11,m1020,p10,m2021,p20,m1314,p13,m2131,p21,m3122,p33,m3031,p30,m3132,p31,m2223,m1122",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 6, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}",mcts,"{""algorithm"": ""mcts"", ""rollout_policy"": ""lightweight"", ""iterations"": 1000, ""rollout_depth"": 4, ""exploration_weight"": 1.0, ""guided_strictness"": 0.8}"
